HP,MPG,VOL,SP,WT,,,MPG>38,,MPG<40,,20<MPG<50,,
175,18.76283667,129,132.864163,42.77821864,,,,,x,,,,
322,36.9,50,169.5985128,16.13294744,,,,,x,,x,,
238,19.1978876,115,150.5765794,37.92311321,,,,,x,,,,
263,34,50,151.5985128,15.76962542,,,,,x,,x,,
295,19.83373318,119,167.9444604,39.42309899,,,,,x,,,,
236,12.10126289,107,139.8408174,34.94861469,,,,,x,,,,
,,,,,,,,,,,,,
,,,,,,,33,,61,,69,,count
,,,,,,,,,,,,,
,34.42207573,average,,,,,,,,,,,
,35.15272697,median,,,,,,,,,,,
,29.62993595,mode,,,,,,,,,,,
